loan_id,payments,frequency,balance_mean,balance_std,balance_min,negative_balance,type_1_mean,type_1_max,type_1_min,type_1_std,type_2_count,type_2_max,pension_mean,pension_count,payment_statement_mean,ins_payment_std,credit_cash,credit_cash_min,col_another_bank,col_another_bank_mean,col_another_bank_std,interest,rem_another_bank,rem_another_bank_mean,rem_another_bank_std,credit_card_withd,credit_card_withd_mean,credit_card_withd_std,ratio_credit_cash,ratio_withd_cash,ratio_credit_card_withd,ratio_interest,owner_count,owner_gender,card_type,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,unemploymant rate '95 ,crime_delta,trans_mth,withdrawal_mth,credit_mth,ratio_withd_credit_mth,owner_age_on_loan,ratio_max_value_in_account_to_loan,ratio_expected_income_to_payments,real_income_to_payments_ratio,status
5895,1566,1,54520.20224719101,13768.55521374187,800.0,0.0,-5653.016949152542,6378.603782721509,-14.6,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,16,500.0,0.0,0.0,0.0,0.0,19.0,-4473.789473684211,1027.5173196132819,0.0,0.0,0.0,0.1797752808988764,0.6067415730337079,0.0,0.0,1,1,-1.0,19,6,1,5,0.535,2.28,0.0005390351271224508,5.907079646017699,-375.2002399880006,847.5146017699116,-0.44270651998732435,34.61643835616438,0.939194338016177,0.4464665815240528,4.544190964781264,
7122,7240,1,31518.182051282052,20629.925861099913,-718.6,1.0,-5371.995833333333,6936.6949716233,-4.6,-30000.0,1.0,0.0,0.0,0.0,7598.126666666666,0.0,14,100.0,0.0,0.0,0.0,0.0,23.0,-3067.3478260869565,2333.8817958830195,0.0,0.0,0.0,0.1794871794871795,0.5256410256410257,0.0,0.0,1,0,-1.0,16,4,1,6,0.524,1.1,0.00047945205479452054,4.775510204081633,-748.5915816326532,583.2717804363125,-1.2834352813583305,47.986301369863014,0.34043815224063845,-0.034261817065684465,-0.5064381641476683,
6173,4845,0,40175.612499999996,15672.003046986596,200.0,0.0,-4315.0952380952385,6050.497594649317,-100.0,-29100.0,7.0,5829.320686552307,0.0,0.0,0.0,0.0,3,200.0,20.0,31977.0,5965.038139023086,0.0,61.0,-1213.1475409836066,952.2404254540198,0.0,0.0,0.0,0.017045454545454544,0.5227272727272727,0.0,0.0,1,0,-1.0,27,10,1,9,0.748,1.42,-0.0017390227705052733,8.380952380952381,-671.8140589569161,728.689811738649,-0.9219479237042882,57.74246575342466,0.3409296525627795,0.17277261781905745,0.24652029069481743,
6142,3698,1,44440.912676056345,13853.751836544183,1000.0,0.0,-3338.3333333333335,4970.687698900425,-2.0,-21200.0,5.0,5408.594392261265,0.0,0.0,0.0,0.0,2,1000.0,10.0,24405.6,4677.21947789971,0.0,24.0,-885.5,1179.75321664063,0.0,0.0,0.0,0.028169014084507043,0.49295774647887325,0.0,0.0,2,0,-1.0,23,4,2,6,0.5529999999999999,3.39,-0.006146734854445318,6.848874598070739,-1452.8038585209003,1138.036288470372,-1.27658834190042,53.35068493150685,0.33449071570218136,0.20053632594195062,-0.8823933142754128,
5358,3210,1,20231.31315789474,4462.709852015552,900.0,0.0,-2069.016129032258,1429.3084271994824,-14.6,-5400.0,0.0,0.0,0.0,0.0,0.0,0.0,33,100.0,0.0,0.0,0.0,0.0,16.0,-3115.0,0.0,0.0,0.0,0.0,0.2894736842105263,0.5701754385964912,0.0,0.0,1,1,-1.0,25,5,2,7,0.591,2.41,0.00010426767597777013,5.728643216080402,-103.97065975036473,137.488790104368,-0.7562119040500713,57.16712328767123,0.8126168224299065,0.2177570093457944,0.20779152462450626,
6095,1139,1,41735.4201754386,11063.628902172537,500.0,0.0,-6653.5675675675675,7246.92175611188,-14.6,-33600.0,0.0,0.0,0.0,0.0,0.0,0.0,21,500.0,0.0,0.0,0.0,0.0,15.0,-9191.0,0.0,0.0,0.0,0.0,0.18421052631578946,0.6842105263157895,0.0,0.0,1,1,-1.0,29,6,2,6,0.674,4.64,0.004323083799777174,5.542949756888168,-323.5121993955057,654.6036466774716,-0.4942108114391589,43.89041095890411,1.0471875914544924,0.7135645302897279,5.978443751038132,
6878,1932,1,36729.80172413793,9960.41027305306,200.0,0.0,-2283.72,2459.1550025703273,-14.6,-9500.0,0.0,0.0,0.0,0.0,0.0,0.0,15,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25862068965517243,0.7413793103448276,0.0,0.0,1,0,-1.0,37,20,3,8,0.48,3.73,-0.00048161823727725157,5.523809523809524,-217.49714285714285,287.42914862914864,-0.7566982816268416,17.512328767123286,2.085231193926846,0.3761214630779848,0.38006524876090103,
6554,8127,1,44346.15625,20389.130044150774,900.0,0.0,-14966.666666666666,9916.988790286427,-900.0,-26100.0,0.0,0.0,0.0,0.0,0.0,0.0,6,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.0,0.0,2,1,-1.0,20,7,3,10,0.735,1.79,-0.0020938877995546053,2.9447852760736195,-2754.6012269938647,2467.693251533742,-1.1162656563095112,18.356164383561644,0.19858445100693162,0.08581477379926992,-0.19181329723965385,
6793,3105,2,61183.10964912281,33629.99101541112,200.0,0.0,-8830.293103448275,11164.199209988261,-30.0,-41300.0,4.0,4489.482561127359,0.0,0.0,0.0,0.0,29,200.0,0.0,0.0,0.0,0.0,18.0,-4021.5,2338.383208418108,0.0,0.0,0.0,0.2543859649122807,0.5877192982456141,0.0,0.0,1,1,-1.0,36,5,1,5,0.505,3.79,-0.0011790135586559245,8.658227848101266,-2045.8323876036666,998.2536514118792,-2.0494113742635904,49.24109589041096,0.9161717659688674,0.22243692968330647,-4.442228671988792,
7286,1870,1,26491.78018018018,7217.696103124472,200.0,0.0,-2715.295890410959,2602.341406654483,-14.6,-11500.0,0.0,0.0,0.0,0.0,0.0,0.0,7,200.0,16.0,12274.0625,2261.866411285158,0.0,36.0,-2896.0,2224.063308451448,0.0,0.0,0.0,0.06306306306306306,0.46846846846846846,0.0,0.0,1,1,-1.0,30,4,1,6,0.514,3.85,0.004434404283801874,6.673346693386773,-163.2442419084745,344.85982491298387,-0.4733640456659885,25.03287671232877,0.652843137254902,0.4147504456327986,1.6154398559581138,
