loan_id,date,amount,duration,payments,status,frequency,acc_create_date,balance_mean,balance_count,balance_std,balance_min,balance_max,negative_balance,type_0_mean,type_0_count,type_0_max,type_0_std,type_1_mean,type_1_max,type_1_min,type_1_std,type_2_mean,type_2_count,type_2_max,type_2_min,type_2_std,sanctions_mean,sanctions_count,sanctions_std,household_mean,household_count,pension_mean,pension_std,pension_count,payment_statement_mean,payment_statement_count,ins_payment_mean,ins_payment_std,credit_cash,credit_cash_mean,credit_cash_min,col_another_bank,col_another_bank_mean,interest,interest_mean,interest_max,interest_std,interest_min,withd_cash_mean,withd_cash_max,rem_another_bank,rem_another_bank_mean,rem_another_bank_std,rem_another_bank_min,credit_card_withd,credit_card_withd_mean,credit_card_withd_max,credit_card_withd_std,mean_trans_profit,credit_ratio,ratio_credit_cash,ratio_col_another_bank,ratio_withd_cash,ratio_rem_another_bank,ratio_credit_card_withd,ratio_interest,owner_count,owner_gender,owner_birthdate,card_type,has_card,region,no. of inhabitants,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,unemploymant rate '95 ,ratio entrepeneurs,crime_delta,unemploymant_delta,acc_age_on_loan,trans_mth,withdrawal_mth,credit_mth,avg_mth_income,ratio_real_salary_to_expected,ratio_withd_credit_mth,owner_age_on_loan,ratio_max_value_in_account_to_loan,ratio_expected_income_to_payments,real_income_to_payments_ratio,log_sanctions_std,log_ratio_max_value_in_acc_to_loan
5895,1997-01-03,93960,60,1566,,1,1995-10-09,54520.20224719101,89,13768.555213741874,800.0,88246.7,0.0,12769.220000000001,30,14018.915135271025,82.2,-5653.016949152542,6378.603782721511,-14.6,-30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,23742.96875,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4543.275925925926,284.1,19.0,-4473.789473684211,1027.5173196132816,-5528.0,0.0,0.0,0.0,0.0,7116.203050847459,0.33707865168539325,0.1797752808988764,0.0,0.6067415730337079,0.21348314606741572,0.0,0.0,1,1,1962-06-01,-1.0,-1.0,2,77917,85,19,6,1,5,0.535,8390,2.28,0.132,0.0005390351271224508,0.6100000000000003,452,5.907079646017699,-375.2002399880006,847.5146017699116,699.1666666666666,10.17812116926931,-0.44270651998732435,34.61643835616438,0.939194338016177,0.4464665815240528,4.544190964781264,0.0,0.6622725971362118
7122,1997-01-04,260640,36,7240,,1,1995-09-02,31518.182051282052,78,20629.92586109991,-718.6,88731.8,1.0,9526.772413793104,29,14395.797543576402,15.5,-5371.995833333333,6936.694971623298,-4.6,-30000.0,-6855.0,1.0,0.0,-6855.0,-6855.0,-4.6,1.0,0.0,-11596.666666666666,15.0,0.0,0.0,0.0,7598.126666666666,30.0,-331.0,0.0,14,19578.64285714286,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4682.595121951219,244.7,23.0,-3067.3478260869565,2333.8817958830195,-6395.0,0.0,0.0,0.0,0.0,-2700.2234195402298,0.3717948717948718,0.1794871794871795,0.0,0.5256410256410257,0.2948717948717949,0.0,0.0,1,0,1949-01-21,-1.0,-1.0,7,58400,65,16,4,1,6,0.524,8620,1.1,0.1,0.00047945205479452054,0.1499999999999999,490,4.775510204081633,-748.5915816326532,583.2717804363125,-248.05555555555551,14.781415801058039,-1.2834352813583305,47.986301369863014,0.34043815224063845,-0.034261817065684465,-0.5064381641476683,0.0,0.2929965398008026
6173,1997-01-08,232560,48,4845,,0,1995-04-19,40175.612499999996,176,15672.0030469866,200.0,79286.6,0.0,15302.486046511629,43,16313.366966803947,45.7,-4315.0952380952385,6050.497594649315,-100.0,-29100.0,-9793.0,7.0,5829.320686552307,-2438.0,-18873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4966.666666666667,200.0,20.0,31977.0,0.0,0.0,0.0,0.0,0.0,-5811.783695652173,233.2,61.0,-1213.1475409836066,952.2404254540196,-2692.0,0.0,0.0,0.0,0.0,1194.3908084163904,0.24431818181818182,0.017045454545454544,0.11363636363636363,0.5227272727272727,0.3465909090909091,0.0,0.0,1,0,1939-04-27,-1.0,-1.0,5,177686,69,27,10,1,9,0.748,10045,1.42,0.135,-0.0017390227705052733,0.29000000000000004,630,8.380952380952381,-671.8140589569161,728.689811738649,837.0833333333334,1.4268481534093265,-0.9219479237042882,57.74246575342466,0.3409296525627795,0.17277261781905745,0.24652029069481743,0.0,0.29336314398450714
6142,1997-01-21,221880,60,3698,,1,1996-03-16,44440.912676056345,71,13853.751836544181,1000.0,74216.8,0.0,11797.642857142857,21,12714.278533112738,54.2,-3338.3333333333335,4970.687698900425,-2.0,-21200.0,-11722.4,5.0,5408.594392261265,-2698.0,-17046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1100.0,1000.0,10.0,24405.6,0.0,0.0,0.0,0.0,0.0,-5316.871428571429,227.2,24.0,-885.5,1179.75321664063,-2872.0,0.0,0.0,0.0,0.0,-3263.0904761904767,0.29577464788732394,0.028169014084507043,0.14084507042253522,0.49295774647887325,0.3380281690140845,0.0,0.0,2,0,1943-09-29,-1.0,-1.0,1,81344,61,23,4,2,6,0.5529999999999999,8899,3.39,0.149,-0.006146734854445318,0.5800000000000001,311,6.848874598070739,-1452.8038585209003,1138.036288470372,741.5833333333334,-4.400166952948164,-1.27658834190042,53.35068493150685,0.33449071570218136,0.20053632594195062,-0.8823933142754128,0.0,0.28854973270237066
5358,1997-01-21,38520,12,3210,,1,1995-06-04,20231.31315789474,114,4462.709852015552,900.0,31302.0,0.0,2736.026923076923,52,2601.941063454802,19.8,-2069.016129032258,1429.3084271994824,-14.6,-5400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,4263.878787878788,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1182.6707692307693,116.0,16.0,-3115.0,0.0,-3115.0,0.0,0.0,0.0,0.0,667.0107940446651,0.45614035087719296,0.2894736842105263,0.0,0.5701754385964912,0.14035087719298245,0.0,0.0,1,1,1939-12-06,-1.0,-1.0,2,95907,87,25,5,2,7,0.591,8388,2.41,0.087,0.00010426767597777013,0.5299999999999998,597,5.728643216080402,-103.97065975036473,137.488790104368,699.0,0.9542357568593206,-0.7562119040500713,57.16712328767123,0.8126168224299065,0.2177570093457944,0.20779152462450626,0.0,0.59477155942407
6095,1997-01-24,68340,60,1139,,1,1995-05-18,41735.4201754386,114,11063.628902172537,500.0,71564.8,0.0,13463.015,40,13889.575842862912,62.7,-6653.5675675675675,7246.92175611188,-14.6,-33600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,25490.380952380954,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4503.54358974359,208.2,15.0,-9191.0,0.0,-9191.0,0.0,0.0,0.0,0.0,6809.447432432432,0.3508771929824561,0.18421052631578946,0.0,0.6842105263157895,0.13157894736842105,0.0,0.0,1,1,1953-03-16,-1.0,-1.0,1,149893,63,29,6,2,6,0.674,9753,4.64,0.109,0.004323083799777174,0.41000000000000014,617,5.542949756888168,-323.5121993955057,654.6036466774716,812.75,8.378280445933475,-0.4942108114391589,43.89041095890411,1.0471875914544924,0.7135645302897279,5.978443751038132,0.0,0.7164669446172944
6878,1997-01-24,23184,12,1932,,1,1996-03-15,36729.80172413793,58,9960.41027305306,200.0,48344.0,0.0,3018.0060606060606,33,4124.385693571483,37.2,-2283.72,2459.1550025703273,-14.6,-9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6490.133333333333,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1275.6000000000001,185.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.2860606060608,0.5689655172413793,0.25862068965517243,0.0,0.7413793103448276,0.0,0.0,0.0,1,0,1979-07-26,-1.0,-1.0,6,161954,21,37,20,3,8,0.48,8720,3.73,0.116,-0.00048161823727725157,0.77,315,5.523809523809524,-217.49714285714285,287.42914862914864,726.6666666666666,1.0104854045037535,-0.7566982816268416,17.512328767123286,2.085231193926846,0.3761214630779848,0.38006524876090103,0.0,1.1266265958546904
6554,1997-01-29,390096,48,8127,,1,1996-08-19,44346.15625,16,20389.130044150774,900.0,77467.0,0.0,13407.8,10,14294.336077621792,43.5,-14966.666666666666,9916.988790286427,-900.0,-26100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22259.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8927.6,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1558.8666666666668,0.625,0.375,0.0,0.625,0.0,0.0,0.0,2,1,1978-09-26,-1.0,-1.0,2,112709,48,20,7,3,10,0.735,8369,1.79,0.117,-0.0020938877995546053,0.52,163,2.9447852760736195,-2754.6012269938647,2467.693251533742,697.4166666666666,-2.235201338272195,-1.1162656563095112,18.356164383561644,0.19858445100693162,0.08581477379926992,-0.19181329723965385,0.0,0.1811412363288451
6793,1997-01-30,186300,60,3105,,2,1996-01-01,62765.86554621849,119,34244.486548193345,200.0,170682.8,0.0,14436.055555555555,54,16290.556856457028,5.9,-11161.590163934427,15082.938616614741,-30.0,-63700.0,-18106.5,4.0,4489.482561127359,-11889.0,-22573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,25005.935483870966,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9952.551470588236,374.9,20.0,-3607.325,2553.015859697785,-6294.0,0.0,0.0,0.0,0.0,-14832.034608378872,0.453781512605042,0.2605042016806723,0.0,0.5714285714285714,0.16806722689075632,0.0,0.0,1,1,1947-11-16,-1.0,-1.0,6,86513,38,36,5,1,5,0.505,8288,3.79,0.11,-0.0011790135586559245,0.7299999999999995,395,9.037974683544304,-2222.892923843121,1096.409282700422,690.6666666666666,-21.474953583560143,-2.027429864847737,49.24109589041096,0.9161717659688674,0.22243692968330647,-4.7768227402186385,0.0,0.6503293237397292
7286,1997-01-31,67320,36,1870,,1,1995-09-20,26491.78018018018,111,7217.696103124468,200.0,43949.4,0.0,5736.168421052632,38,6039.934969182101,33.3,-2715.295890410959,2602.341406654483,-14.6,-11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2871.4285714285716,200.0,16.0,12274.0625,0.0,0.0,0.0,0.0,0.0,-1778.2923076923075,135.6,36.0,-2896.0,2224.063308451448,-5808.0,0.0,0.0,0.0,0.0,3020.8725306416727,0.34234234234234234,0.06306306306306306,0.14414414414414414,0.46846846846846846,0.32432432432432434,0.0,0.0,1,1,1972-01-26,-1.0,-1.0,1,95616,65,30,4,1,6,0.514,9307,3.85,0.118,0.004434404283801874,0.5799999999999996,499,6.673346693386773,-163.2442419084745,344.85982491298387,775.5833333333334,3.8949683429354325,-0.4733640456659885,25.03287671232877,0.652843137254902,0.4147504456327986,1.6154398559581138,0.0,0.5024969185434387
