loan_id,duration,payments,negative_balance,type_0_mean,type_1_min,rem_another_bank,rem_another_bank_mean,rem_another_bank_std,credit_card_withd,credit_ratio,ratio_credit_cash,ratio_withd_cash,ratio_interest,owner_count,owner_gender,unemploymant_delta,withdrawal_mth,ratio_real_salary_to_expected,ratio_max_value_in_account_to_loan,ratio_expected_income_to_payments,status
5314,12,8033,0.0,5025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0.29000000000000004,0.0,6.248704663212435,0.20851487613593925,0.10010788829412008,-1
5316,36,4610,0.0,13523.158823529413,-14.6,8.0,-2682.375,1462.7363728398127,0.0,0.4594594594594595,0.35135135135135137,0.43243243243243246,0.0,1,1,0.52,-3233.5675675675675,-3.483008019792931,0.7261557001687153,0.15128344179320316,1
6863,60,2118,0.0,5009.733333333334,-66.0,3.0,-2824.3333333333335,4431.462324485376,0.0,0.625,0.08333333333333333,0.5833333333333334,0.0,1,1,0.6100000000000003,-1075.9411764705883,-1.555089392133492,0.39022977651872837,0.3301070192005036,1
5325,36,2939,0.0,9254.6,-14.6,2.0,-6994.0,0.0,0.0,0.52,0.08,0.6,0.0,1,0,0.29000000000000004,-1162.3945945945945,2.492583374813341,0.6228356205814525,0.2848190994669389,1
7240,60,4579,0.0,21255.930769230767,-30.0,3.0,-6584.666666666667,5047.773403524898,0.0,0.48148148148148145,0.037037037037037035,0.6296296296296297,0.0,1,1,0.7299999999999995,-2470.7352941176473,6.450189337689334,0.4473069083497125,0.15083351532357864,1
6687,24,3660,0.0,7331.9857142857145,-15200.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.11764705882352941,0.6470588235294118,0.0,2,0,0.48999999999999977,-4741.935483870967,-17.122141361778485,0.7496334244080146,0.19576502732240436,1
7284,12,4399,0.0,4304.038095238096,-14.6,8.0,-1556.5,1123.0317385160072,0.0,0.4883720930232558,0.32558139534883723,0.4883720930232558,0.0,1,1,0.4700000000000002,-387.60692995529064,1.5276971563538733,0.7855781617034174,0.17134576040009092,1
6111,24,7281,0.0,13374.85,-14.6,0.0,0.0,0.0,0.0,0.5,0.34375,0.65625,0.0,1,0,0.6199999999999999,-3012.2892199824714,-3.9932217932217924,0.6044728288238795,0.10290482076637825,-1
7235,48,3217,0.0,11408.987500000001,-30.0,0.0,0.0,0.0,0.0,0.5,0.3125,0.6875,0.0,1,0,0.52,-3553.5754870129867,-12.629779692876255,0.5292424360169931,0.2323075328981453,1
5997,24,4876,0.0,13154.833333333334,-2100.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.07692307692307693,0.6153846153846154,0.0,1,1,0.29000000000000004,-3569.3430656934306,-3.7572921851667487,0.6578582171178562,0.17167418649165983,1
7121,36,609,0.0,7551.738095238095,-14.6,5.0,-6262.0,0.0,0.0,0.4666666666666667,0.26666666666666666,0.6222222222222222,0.0,2,1,0.5500000000000003,-460.8712121212121,4.102637211810265,2.756449553001277,1.196360153256705,1
6077,24,3317,0.0,23558.29090909091,-14.6,0.0,0.0,0.0,0.0,0.41509433962264153,0.018867924528301886,0.7735849056603774,0.0,1,1,0.9699999999999998,-2952.2304883614784,-10.530623483615969,1.5805660235152246,0.20736609385991359,1
6228,60,7742,0.0,16035.558064516128,-30.0,0.0,0.0,0.0,0.0,0.45588235294117646,0.3235294117647059,0.6764705882352942,0.0,1,0,1.5499999999999998,-2766.261812117843,-10.320464419297425,0.2711252475673814,0.09589468698871953,-1
6356,36,2650,0.0,11706.59090909091,-30.0,0.0,0.0,0.0,0.0,0.46808510638297873,0.2765957446808511,0.723404255319149,0.0,1,1,0.5799999999999996,-2437.1690460739783,-12.977912413241594,0.9680796645702306,0.2926729559748428,1
5523,36,2608,0.0,7084.7,-100.0,0.0,0.0,0.0,0.0,0.631578947368421,0.10526315789473684,0.631578947368421,0.0,1,0,0.7299999999999995,-1381.8681318681317,-0.14625620518477633,0.5578796012269939,0.26482617586912066,1
6456,12,3918,0.0,13031.063636363637,-100.0,4.0,-14581.0,0.0,0.0,0.5238095238095238,0.3333333333333333,0.5714285714285714,0.0,1,0,0.52,-2158.0576965426117,-5.966967636887327,2.4013442232431514,0.1780032329419772,1
7104,60,4329,0.0,14443.35,-1300.0,1.0,-12414.0,0.0,0.0,0.5882352941176471,0.058823529411764705,0.5882352941176471,0.0,1,1,0.6299999999999999,-2134.9493087557603,4.139628308616482,0.3065892815892816,0.19044044044044042,1
6820,12,3179,0.0,8067.861111111111,-14.6,4.0,-5887.0,4081.9449612490694,0.0,0.6206896551724138,0.06896551724137931,0.5862068965517241,0.0,1,0,0.14,-2978.8175438596495,-8.526974457114001,1.6337579951766803,0.32874593687742476,1
6876,12,7218,0.0,4879.433333333333,-2200.0,0.0,0.0,0.0,0.0,0.8,0.4,0.6,0.0,1,1,0.13999999999999996,-1703.9999999999998,-2.769361879027229,0.5582467442504849,0.1110880206890182,1
7097,24,3151,0.0,11677.0,-3200.0,0.0,0.0,0.0,0.0,0.6521739130434783,0.2608695652173913,0.7391304347826086,0.0,1,1,0.3599999999999999,-2548.469387755102,-6.029705971506517,1.1868560245424733,0.2617423040304665,-1
4959,24,3373,0.0,10394.786363636364,-14.6,5.0,-7266.0,0.0,0.0,0.4074074074074074,0.037037037037037035,0.6851851851851852,0.0,2,1,0.14,-2033.7510190591606,-10.357084062082015,0.8341931020851864,0.309837928649076,1
6499,24,3373,0.0,10395.177272727273,-14.6,5.0,-7266.0,0.0,0.0,0.4074074074074074,0.037037037037037035,0.6851851851851852,0.0,2,1,0.14,-2030.7764679960337,-10.327014314677951,0.8341931020851864,0.309837928649076,1
5479,12,2043,0.0,20344.677419354837,-14.6,0.0,0.0,0.0,0.0,0.4246575342465753,0.2876712328767123,0.7123287671232876,0.0,1,1,0.14,-2631.66274734729,-7.141273210380217,5.109079784630445,0.511543481807799,1
